Total numbers of ways picking 4 fruit/fruits is : 3060.0 

probability table
f( 0 , 0 ) = 0.004901960784313725 

f( 0 , 1 ) = 0.0392156862745098 

f( 0 , 2 ) = 0.07352941176470588 

f( 0 , 3 ) = 0.0392156862745098 

f( 0 , 4 ) = 0.004901960784313725 

f( 0 , 5 ) = 0.0 

f( 1 , 0 ) = 0.0392156862745098 

f( 1 , 1 ) = 0.17647058823529413 

f( 1 , 2 ) = 0.17647058823529413 

f( 1 , 3 ) = 0.0392156862745098 

f( 1 , 4 ) = 0.0 

f( 1 , 5 ) = 0.0 

f( 2 , 0 ) = 0.07352941176470588 

f( 2 , 1 ) = 0.17647058823529413 

f( 2 , 2 ) = 0.07352941176470588 

f( 2 , 3 ) = 0.0 

f( 2 , 4 ) = 0.0 

f( 2 , 5 ) = 0.0 

f( 3 , 0 ) = 0.0392156862745098 

f( 3 , 1 ) = 0.0392156862745098 

f( 3 , 2 ) = 0.0 

f( 3 , 3 ) = 0.0 

f( 3 , 4 ) = 0.0 

f( 3 , 5 ) = 0.0 

f( 4 , 0 ) = 0.004901960784313725 

f( 4 , 1 ) = 0.0 

f( 4 , 2 ) = 0.0 

f( 4 , 3 ) = 0.0 

f( 4 , 4 ) = 0.0 

f( 4 , 5 ) = 0.0 

f( 5 , 0 ) = 0.0 

f( 5 , 1 ) = 0.0 

f( 5 , 2 ) = 0.0 

f( 5 , 3 ) = 0.0 

f( 5 , 4 ) = 0.0 

f( 5 , 5 ) = 0.0 

E(X,Y)=  1.411764705882353 

uX =  1.3333333333333333 

uY =  1.3333333333333335 



 Covariance = (E(X,Y) - uX*uY) :  -0.36601307189542487 

